# assembly_accession,asm_name,ftp_path,index,ncbi_assembly_level,ncbi_assembly_name,ncbi_bioproject,ncbi_biosample,ncbi_genbank_assembly_accession,ncbi_genome_representation,ncbi_organism_name,ncbi_refseq_category,parsed_genome_accession,srr_accession
GCA_000195935.2,ASM19593v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/935/GCA_000195935.2_ASM19593v2,GCA_000195935.2,Complete Genome,ASM19593v2,PRJNA224116,SAMEA3283067,GCA_000195935.2,full,Pyrococcus abyssi GE5,representative genome,GCF_000195935.2,
GCA_000196655.1,ASM19665v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/655/GCA_000196655.1_ASM19665v1,GCA_000196655.1,Complete Genome,ASM19665v1,PRJNA224116,SAMN00015125,GCA_000196655.1,full,Methanohalobium evestigatum Z-7303,representative genome,GCF_000196655.1,
GCA_000196895.1,ASM19689v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/895/GCA_000196895.1_ASM19689v1,GCA_000196895.1,Complete Genome,ASM19689v1,PRJNA224116,SAMN02603490,GCA_000196895.1,full,Halalkalicoccus jeotgali B3,representative genome,GCF_000196895.1,
GCA_000200715.1,ASM20071v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/200/715/GCA_000200715.1_ASM20071v1,GCA_000200715.1,Chromosome,ASM20071v1,PRJNA202,SAMN02744041,GCA_000200715.1,full,Cenarchaeum symbiosum A,na,GCA_000200715.1,
GCA_000204415.1,ASM20441v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/415/GCA_000204415.1_ASM20441v1,GCA_000204415.1,Complete Genome,ASM20441v1,PRJNA224116,SAMN02604263,GCA_000204415.1,full,Methanothrix soehngenii GP6,representative genome,GCF_000204415.1,
GCA_000204585.1,ASM20458v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/585/GCA_000204585.1_ASM20458v1,GCA_000204585.1,Chromosome,ASM20458v1,PRJNA52465,SAMN02471010,GCA_000204585.1,full,Candidatus Nitrosoarchaeum limnia SFB1,na,GCA_000204585.1,
GCA_000204925.1,ASM20492v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/204/925/GCA_000204925.1_ASM20492v1,GCA_000204925.1,Complete Genome,ASM20492v1,PRJNA224116,SAMN02603221,GCA_000204925.1,full,Metallosphaera cuprina Ar-4,representative genome,GCF_000204925.1,
GCA_000211475.1,ASM21147v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/211/475/GCA_000211475.1_ASM21147v1,GCA_000211475.1,Complete Genome,ASM21147v1,PRJNA224116,SAMN02603477,GCA_000211475.1,full,Pyrococcus sp. NA2,na,GCF_000211475.1,
GCA_000213215.1,ASM21321v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/215/GCA_000213215.1_ASM21321v1,GCA_000213215.1,Complete Genome,ASM21321v1,PRJNA224116,SAMN02602984,GCA_000213215.1,full,Acidianus hospitalis W1,representative genome,GCF_000213215.1,
GCA_000214415.1,ASM21441v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/415/GCA_000214415.1_ASM21441v1,GCA_000214415.1,Complete Genome,ASM21441v1,PRJNA224116,SAMN00713627,GCA_000214415.1,full,Methanotorris igneus Kol 5,representative genome,GCF_000214415.1,
GCA_000214725.1,ASM21472v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/725/GCA_000214725.1_ASM21472v1,GCA_000214725.1,Complete Genome,ASM21472v1,PRJNA224116,SAMN00713630,GCA_000214725.1,full,Methanobacterium paludis,representative genome,GCF_000214725.1,
GCA_000215995.1,ASM21599v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/995/GCA_000215995.1_ASM21599v1,GCA_000215995.1,Complete Genome,ASM21599v1,PRJNA224116,SAMN02603867,GCA_000215995.1,full,Pyrococcus yayanosii CH1,representative genome,GCF_000215995.1,
GCA_000217715.1,ASM21771v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/715/GCA_000217715.1_ASM21771v1,GCA_000217715.1,Complete Genome,ASM21771v1,PRJNA224116,SAMN02232028,GCA_000217715.1,full,Halopiger xanaduensis SH-6,representative genome,GCF_000217715.1,
GCA_000217995.1,ASM21799v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/995/GCA_000217995.1_ASM21799v1,GCA_000217995.1,Complete Genome,ASM21799v1,PRJNA224116,SAMN02232039,GCA_000217995.1,full,Methanosalsum zhilinae DSM 4017,representative genome,GCF_000217995.1,
GCA_000220175.2,ASM22017v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/175/GCA_000220175.2_ASM22017v1,GCA_000220175.2,Contig,ASM22017v1,PRJNA224116,SAMN02470178,GCA_000220175.2,full,Candidatus Nitrosoarchaeum koreensis MY1,na,GCF_000220175.1,
GCA_000220355.1,ASM22035v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/355/GCA_000220355.1_ASM22035v1,GCA_000220355.1,Scaffold,ASM22035v1,PRJNA52645,SAMN01940911,GCA_000220355.1,full,Candidatus Nanosalinarum sp. J07AB56,na,GCA_000220355.1,
GCA_000220375.1,ASM22037v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/375/GCA_000220375.1_ASM22037v1,GCA_000220375.1,Scaffold,ASM22037v1,PRJNA52647,SAMN01940911,GCA_000220375.1,full,Candidatus Nanosalina sp. J07AB43,na,GCA_000220375.1,
GCA_000221185.1,ASM22118v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/185/GCA_000221185.1_ASM22118v1,GCA_000221185.1,Complete Genome,ASM22118v1,PRJNA224116,SAMN02603471,GCA_000221185.1,full,Thermococcus sp. 4557,na,GCF_000221185.1,
GCA_000223395.1,ASM22339v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/395/GCA_000223395.1_ASM22339v1,GCA_000223395.1,Complete Genome,ASM22339v1,PRJNA224116,SAMN02232047,GCA_000223395.1,full,Pyrolobus fumarii 1A,representative genome,GCF_000223395.1,
GCA_000223905.1,ASM22390v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/905/GCA_000223905.1_ASM22390v1,GCA_000223905.1,Complete Genome,ASM22390v1,PRJNA224116,SAMN02602960,GCA_000223905.1,full,Haloarcula hispanica ATCC 33960,representative genome,GCF_000223905.1,
GCA_000224475.1,ASM22447v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/475/GCA_000224475.1_ASM22447v1,GCA_000224475.1,Complete Genome,ASM22447v1,PRJNA224116,SAMN02232027,GCA_000224475.1,full,halophilic archaeon DL31,representative genome,GCF_000224475.1,
GCA_000226975.3,ASM22697v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/975/GCA_000226975.3_ASM22697v3,GCA_000226975.3,Complete Genome,ASM22697v3,PRJNA224116,SAMN02470038,GCA_000226975.3,full,Halobiforma lacisalsi AJ5,representative genome,GCF_000226975.2,
GCA_000230715.3,ASM23071v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/715/GCA_000230715.3_ASM23071v3,GCA_000230715.3,Complete Genome,ASM23071v3,PRJNA224116,SAMN02232042,GCA_000230715.3,full,Natronobacterium gregoryi SP2,representative genome,GCF_000230715.2,
GCA_000230735.3,ASM23073v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/735/GCA_000230735.3_ASM23073v3,GCA_000230735.3,Complete Genome,ASM23073v3,PRJNA224116,SAMN02261373,GCA_000230735.3,full,Natrinema pellirubrum DSM 15624,representative genome,GCF_000230735.2,
GCA_000230955.3,ASM23095v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/955/GCA_000230955.3_ASM23095v3,GCA_000230955.3,Complete Genome,ASM23095v3,PRJNA224116,SAMN02261380,GCA_000230955.3,full,Halobacterium sp. DL1,na,GCF_000230955.2,
GCA_000234805.1,ASM23480v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/234/805/GCA_000234805.1_ASM23480v1,GCA_000234805.1,Complete Genome,ASM23480v1,PRJNA74711,SAMN02603094,GCA_000234805.1,full,Pyrobaculum ferrireducens,na,GCA_000234805.1,
GCA_000235565.1,ASM23556v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/565/GCA_000235565.1_ASM23556v1,GCA_000235565.1,Complete Genome,ASM23556v1,PRJNA224116,SAMN02603883,GCA_000235565.1,full,Methanosaeta harundinacea 6Ac,representative genome,GCF_000235565.1,
GCA_000235685.3,ASM23568v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/685/GCA_000235685.3_ASM23568v3,GCA_000235685.3,Chromosome,ASM23568v3,PRJNA224116,SAMN02261397,GCA_000235685.3,full,Methanolinea tarda NOBI-1,representative genome,GCF_000235685.2,
GCA_000237865.1,ASM23786v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/865/GCA_000237865.1_ASM23786v1,GCA_000237865.1,Complete Genome,ASM23786v1,PRJNA224116,SAMEA2272799,GCA_000237865.1,full,Haloquadratum walsbyi C23,representative genome,GCF_000237865.1,
GCA_000242875.3,ASM24287v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/875/GCA_000242875.3_ASM24287v3,GCA_000242875.3,Contig,ASM24287v3,PRJNA224116,SAMN00016669,GCA_000242875.3,full,Candidatus Nitrosopumilus salaria BD31,na,GCF_000242875.2,
GCA_000243255.1,ASM24325v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/255/GCA_000243255.1_ASM24325v1,GCA_000243255.1,Chromosome,ASM24325v1,PRJNA224116,SAMN02261391,GCA_000243255.1,full,Methanoplanus limicola DSM 2279,representative genome,GCF_000243255.1,
GCA_000243315.1,ASM24331v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/315/GCA_000243315.1_ASM24331v1,GCA_000243315.1,Scaffold,ASM24331v1,PRJNA224116,SAMN02261413,GCA_000243315.1,full,Metallosphaera yellowstonensis MK1,representative genome,GCF_000243315.1,
GCA_000243455.2,ASM24345v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/455/GCA_000243455.2_ASM24345v2,GCA_000243455.2,Contig,ASM24345v2,PRJNA224116,SAMN02261372,GCA_000243455.2,full,Methanotorris formicicus Mc-S-70,representative genome,GCF_000243455.1,
GCA_000246735.1,ASM24673v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/246/735/GCA_000246735.1_ASM24673v1,GCA_000246735.1,Chromosome,ASM24673v1,PRJNA77705,SAMN02954313,GCA_000246735.1,full,uncultured marine group II euryarchaeote,na,GCA_000246735.1,
GCA_000246985.3,ASM24698v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/246/985/GCA_000246985.3_ASM24698v3,GCA_000246985.3,Complete Genome,ASM24698v3,PRJNA224116,SAMN02603679,GCA_000246985.3,full,Thermococcus litoralis DSM 5473,representative genome,GCF_000246985.2,
GCA_000247545.1,ASM24754v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/545/GCA_000247545.1_ASM24754v1,GCA_000247545.1,Complete Genome,ASM24754v1,PRJNA42375,SAMN02604076,GCA_000247545.1,full,Pyrobaculum oguniense TE7,na,GCA_000247545.1,
GCA_000251105.1,ASM25110v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/251/105/GCA_000251105.1_ASM25110v1,GCA_000251105.1,Complete Genome,ASM25110v1,PRJNA224116,SAMN02603117,GCA_000251105.1,full,Methanocella conradii HZ254,representative genome,GCF_000251105.1,
GCA_000253055.1,ASM25305v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/055/GCA_000253055.1_ASM25305v1,GCA_000253055.1,Complete Genome,ASM25305v1,PRJNA224116,SAMEA2272453,GCA_000253055.1,full,Thermoproteus tenax Kra 1,na,GCF_000253055.1,
GCA_000258425.1,ASM25842v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/425/GCA_000258425.1_ASM25842v1,GCA_000258425.1,Complete Genome,ASM25842v1,PRJNA91117,SAMN02603095,GCA_000258425.1,full,Fervidicoccus fontis Kam940,na,GCA_000258425.1,
GCA_000258515.1,TheZil1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/515/GCA_000258515.1_TheZil1.0,GCA_000258515.1,Contig,TheZil1.0,PRJNA224116,SAMN02470188,GCA_000258515.1,full,Thermococcus zilligii AN1,representative genome,GCF_000258515.1,
GCA_000263735.1,ASM26373v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/735/GCA_000263735.1_ASM26373v1,GCA_000263735.1,Complete Genome,ASM26373v1,PRJNA224116,SAMN02603491,GCA_000263735.1,full,Pyrococcus sp. ST04,na,GCF_000263735.1,
GCA_000264495.1,ASM26449v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/264/495/GCA_000264495.1_ASM26449v1,GCA_000264495.1,Complete Genome,ASM26449v1,PRJNA224116,SAMN02603096,GCA_000264495.1,full,Thermogladius calderae 1633,representative genome,GCF_000264495.1,
GCA_000265525.1,ASM26552v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/525/GCA_000265525.1_ASM26552v1,GCA_000265525.1,Complete Genome,ASM26552v1,PRJNA224116,SAMN02603492,GCA_000265525.1,full,Thermococcus cleftensis,representative genome,GCF_000265525.1,
GCA_000270325.1,ASM27032v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/325/GCA_000270325.1_ASM27032v1,GCA_000270325.1,Complete Genome,ASM27032v1,PRJDA49157,SAMD00016619,GCA_000270325.1,full,Candidatus Caldiarchaeum subterraneum,na,GCA_000270325.1,
GCA_000275865.1,ASM27586v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/275/865/GCA_000275865.1_ASM27586v1,GCA_000275865.1,Chromosome,ASM27586v1,PRJNA224116,SAMN02256542,GCA_000275865.1,full,Methanofollis liminatans DSM 4140,representative genome,GCF_000275865.1,
GCA_000296615.1,ASM29661v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/615/GCA_000296615.1_ASM29661v1,GCA_000296615.1,Scaffold,ASM29661v1,PRJNA224116,SAMN02470121,GCA_000296615.1,full,Halorubrum sp. T3,na,GCF_000296615.1,
GCA_000299365.1,ASM29936v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/365/GCA_000299365.1_ASM29936v1,GCA_000299365.1,Complete Genome,ASM29936v1,PRJNA174387,SAMN02603137,GCA_000299365.1,full,Candidatus Nitrosopumilus koreensis AR1,na,GCA_000299365.1,
GCA_000299395.1,ASM29939v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/395/GCA_000299395.1_ASM29939v1,GCA_000299395.1,Complete Genome,ASM29939v1,PRJNA224116,SAMN02603138,GCA_000299395.1,full,Candidatus Nitrosopumilus sediminis,na,GCF_000299395.1,
GCA_000300255.2,ASM30025v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/255/GCA_000300255.2_ASM30025v2,GCA_000300255.2,Complete Genome,ASM30025v2,PRJNA224116,SAMN03081445,GCA_000300255.2,full,Candidatus Methanomethylophilus alvus Mx1201,na,GCF_000300255.2,
GCA_000302455.1,ASM30245v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/302/455/GCA_000302455.1_ASM30245v1,GCA_000302455.1,Contig,ASM30245v1,PRJNA224116,SAMN02471940,GCA_000302455.1,full,Methanobacterium formicicum DSM 3637,representative genome,GCF_000302455.1,
GCA_000303155.1,ASM30315v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/155/GCA_000303155.1_ASM30315v1,GCA_000303155.1,Complete Genome,ASM30315v1,PRJNA60505,SAMN02603264,GCA_000303155.1,full,Candidatus Nitrososphaera gargensis Ga9.2,na,GCA_000303155.1,
GCA_000304355.2,Mb_MS2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/355/GCA_000304355.2_Mb_MS2,GCA_000304355.2,Complete Genome,Mb_MS2,PRJNA224116,SAMEA2272323,GCA_000304355.2,full,Methanoculleus bourgensis MS2,representative genome,GCF_000304355.2,
GCA_000306725.1,ASM30672v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/725/GCA_000306725.1_ASM30672v1,GCA_000306725.1,Complete Genome,ASM30672v1,PRJNA224116,SAMN00739943,GCA_000306725.1,full,Methanolobus psychrophilus R15,representative genome,GCF_000306725.1,
GCA_000306765.2,ASM30676v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/765/GCA_000306765.2_ASM30676v2,GCA_000306765.2,Complete Genome,ASM30676v2,PRJNA224116,SAMN02603397,GCA_000306765.2,full,Haloferax mediterranei ATCC 33500,representative genome,GCF_000306765.2,
GCA_000308215.1,ASM30821v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/308/215/GCA_000308215.1_ASM30821v1,GCA_000308215.1,Contig,ASM30821v1,PRJNA224116,SAMEA3138426,GCA_000308215.1,full,Methanomassiliicoccus luminyensis B10,representative genome,GCF_000308215.1,
GCA_000309865.1,MMad_1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/309/865/GCA_000309865.1_MMad_1.0,GCA_000309865.1,Contig,MMad_1.0,PRJNA172217,SAMN01813472,GCA_000309865.1,full,Methanobacterium sp. Maddingley MBC34,na,GCA_000309865.1,
GCA_000317795.1,ASM31779v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/795/GCA_000317795.1_ASM31779v1,GCA_000317795.1,Complete Genome,ASM31779v1,PRJNA224116,SAMN02261426,GCA_000317795.1,full,Caldisphaera lagunensis DSM 15908,representative genome,GCF_000317795.1,
GCA_000320505.2,ASM32050v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/320/505/GCA_000320505.2_ASM32050v2,GCA_000320505.2,Contig,ASM32050v2,PRJNA224116,SAMD00036626,GCA_000320505.2,full,Methanobrevibacter boviskoreani JH1,representative genome,GCF_000320505.1,
GCA_000327485.1,ASM32748v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/327/485/GCA_000327485.1_ASM32748v1,GCA_000327485.1,Complete Genome,ASM32748v1,PRJNA224116,SAMN02232038,GCA_000327485.1,full,Methanoregula formicica SMSP,representative genome,GCF_000327485.1,
GCA_000327505.1,ASM32750v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/327/505/GCA_000327505.1_ASM32750v1,GCA_000327505.1,Complete Genome,ASM32750v1,PRJNA224116,SAMN02261429,GCA_000327505.1,full,Aciduliprofundum sp. MAR08-339,na,GCF_000327505.1,
GCA_000328525.1,ASM32852v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/525/GCA_000328525.1_ASM32852v1,GCA_000328525.1,Complete Genome,ASM32852v1,PRJNA59897,SAMN02232030,GCA_000328525.1,full,Halovivax ruber XH-70,na,GCA_000328525.1,
GCA_000328665.1,ASM32866v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/665/GCA_000328665.1_ASM32866v1,GCA_000328665.1,Complete Genome,ASM32866v1,PRJNA224116,SAMN02261367,GCA_000328665.1,full,Methanomethylovorans hollandica DSM 15978,representative genome,GCF_000328665.1,
GCA_000328685.1,ASM32868v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/685/GCA_000328685.1_ASM32868v1,GCA_000328685.1,Complete Genome,ASM32868v1,PRJNA224116,SAMN02261263,GCA_000328685.1,full,Natronococcus occultus SP4,representative genome,GCF_000328685.1,
GCA_000334895.1,ASM33489v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/334/895/GCA_000334895.1_ASM33489v1,GCA_000334895.1,Contig,ASM33489v1,PRJNA224116,SAMD00011631,GCA_000334895.1,full,Halococcus agarilyticus,representative genome,GCF_000334895.1,
GCA_000336615.1,ASM33661v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/615/GCA_000336615.1_ASM33661v1,GCA_000336615.1,Contig,ASM33661v1,PRJNA224116,SAMN02471637,GCA_000336615.1,full,Haloarcula amylolytica JCM 13557,na,GCF_000336615.1,
GCA_000336635.1,ASM33663v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/635/GCA_000336635.1_ASM33663v1,GCA_000336635.1,Contig,ASM33663v1,PRJNA224116,SAMN02471638,GCA_000336635.1,full,Haloarcula japonica DSM 6131,na,GCF_000336635.1,
GCA_000336675.1,ASM33667v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/675/GCA_000336675.1_ASM33667v1,GCA_000336675.1,Contig,ASM33667v1,PRJNA224116,SAMN02471661,GCA_000336675.1,full,Halococcus hamelinensis 100A6,representative genome,GCF_000336675.1,
GCA_000336695.1,ASM33669v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/695/GCA_000336695.1_ASM33669v1,GCA_000336695.1,Contig,ASM33669v1,PRJNA224116,SAMN02471675,GCA_000336695.1,full,Halococcus morrhuae DSM 1307,representative genome,GCF_000336695.1,
GCA_000336715.1,ASM33671v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/715/GCA_000336715.1_ASM33671v1,GCA_000336715.1,Contig,ASM33671v1,PRJNA224116,SAMN02471640,GCA_000336715.1,full,Halococcus thailandensis JCM 13552,representative genome,GCF_000336715.1,
GCA_000336755.1,ASM33675v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/755/GCA_000336755.1_ASM33675v1,GCA_000336755.1,Contig,ASM33675v1,PRJNA224116,SAMN02471641,GCA_000336755.1,full,Haloferax elongans ATCC BAA-1513,representative genome,GCF_000336755.1,
GCA_000336775.1,ASM33677v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/775/GCA_000336775.1_ASM33677v1,GCA_000336775.1,Contig,ASM33677v1,PRJNA224116,SAMN02471685,GCA_000336775.1,full,Haloferax gibbonsii ATCC 33959,na,GCF_000336775.1,
GCA_000336815.1,ASM33681v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/815/GCA_000336815.1_ASM33681v1,GCA_000336815.1,Contig,ASM33681v1,PRJNA224116,SAMN02471666,GCA_000336815.1,full,Haloferax prahovense DSM 18310,na,GCF_000336815.1,
GCA_000336875.1,ASM33687v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/875/GCA_000336875.1_ASM33687v1,GCA_000336875.1,Contig,ASM33687v1,PRJNA224116,SAMN02471648,GCA_000336875.1,full,Halorubrum californiensis DSM 19288,representative genome,GCF_000336875.1,
GCA_000336895.1,ASM33689v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/895/GCA_000336895.1_ASM33689v1,GCA_000336895.1,Contig,ASM33689v1,PRJNA224116,SAMN02471678,GCA_000336895.1,full,Haloarcula argentinensis DSM 12282,na,GCF_000336895.1,
GCA_000336915.1,ASM33691v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/915/GCA_000336915.1_ASM33691v1,GCA_000336915.1,Contig,ASM33691v1,PRJNA224116,SAMN02471639,GCA_000336915.1,full,Halococcus saccharolyticus DSM 5350,representative genome,GCF_000336915.1,
GCA_000336935.1,ASM33693v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/935/GCA_000336935.1_ASM33693v1,GCA_000336935.1,Contig,ASM33693v1,PRJNA224116,SAMN02471636,GCA_000336935.1,full,Halococcus salifodinae DSM 8989,representative genome,GCF_000336935.1,
GCA_000336955.1,ASM33695v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/955/GCA_000336955.1_ASM33695v1,GCA_000336955.1,Contig,ASM33695v1,PRJNA224116,SAMN02471655,GCA_000336955.1,full,Haloferax larsenii JCM 13917,na,GCF_000336955.1,
GCA_000336995.1,ASM33699v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/995/GCA_000336995.1_ASM33699v1,GCA_000336995.1,Contig,ASM33699v1,PRJNA224116,SAMN02471664,GCA_000336995.1,full,Halorubrum aidingense JCM 13560,representative genome,GCF_000336995.1,
GCA_000337035.1,ASM33703v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/035/GCA_000337035.1_ASM33703v1,GCA_000337035.1,Contig,ASM33703v1,PRJNA224116,SAMN02471634,GCA_000337035.1,full,Halorubrum coriense DSM 10284,representative genome,GCF_000337035.1,
GCA_000337075.1,ASM33707v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/075/GCA_000337075.1_ASM33707v1,GCA_000337075.1,Contig,ASM33707v1,PRJNA224116,SAMN02471650,GCA_000337075.1,full,Halorubrum hochstenium ATCC 700873,na,GCF_000337075.1,
GCA_000337095.1,ASM33709v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/095/GCA_000337095.1_ASM33709v1,GCA_000337095.1,Contig,ASM33709v1,PRJNA224116,SAMN02471630,GCA_000337095.1,full,Halogeometricum pallidum JCM 14848,representative genome,GCF_000337095.1,
GCA_000337135.1,ASM33713v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/135/GCA_000337135.1_ASM33713v1,GCA_000337135.1,Contig,ASM33713v1,PRJNA224116,SAMN02471674,GCA_000337135.1,full,Natrialba chahannaoensis JCM 10990,na,GCF_000337135.1,
GCA_000337175.1,ASM33717v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/175/GCA_000337175.1_ASM33717v1,GCA_000337175.1,Contig,ASM33717v1,PRJNA224116,SAMN02471627,GCA_000337175.1,full,Natrinema gari JCM 14663,na,GCF_000337175.1,
GCA_000337195.1,ASM33719v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/195/GCA_000337195.1_ASM33719v1,GCA_000337195.1,Contig,ASM33719v1,PRJNA224116,SAMN02471670,GCA_000337195.1,full,Natrinema versiforme JCM 10478,representative genome,GCF_000337195.1,
GCA_000337215.1,ASM33721v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/215/GCA_000337215.1_ASM33721v1,GCA_000337215.1,Contig,ASM33721v1,PRJNA224116,SAMN02471623,GCA_000337215.1,full,Natronolimnobius innermongolicus JCM 12255,representative genome,GCF_000337215.1,
GCA_000337335.1,ASM33733v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/335/GCA_000337335.1_ASM33733v1,GCA_000337335.1,Contig,ASM33733v1,PRJNA224116,SAMN02471649,GCA_000337335.1,full,Halorubrum distributum JCM 10118,na,GCF_000337335.1,
GCA_000337355.1,ASM33735v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/355/GCA_000337355.1_ASM33735v1,GCA_000337355.1,Contig,ASM33735v1,PRJNA224116,SAMN02471633,GCA_000337355.1,full,Halorubrum kocurii JCM 14978,representative genome,GCF_000337355.1,
