ncbi_assembly_name,ncbi_genbank_assembly_accession,ncbi_bioproject,ncbi_biosample,ncbi_assembly_level,ncbi_organism_name,ncbi_refseq_category,ncbi_genome_representation,parsed_genome_accession,# assembly_accession,ftp_path,asm_name
ASM21147v1,GCA_000211475.1,PRJNA224116,SAMN02603477,Complete Genome,Pyrococcus sp. NA2,na,full,GCF_000211475.1,GCA_000211475.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/211/475/GCA_000211475.1_ASM21147v1,ASM21147v1
ASM21321v1,GCA_000213215.1,PRJNA224116,SAMN02602984,Complete Genome,Acidianus hospitalis W1,representative genome,full,GCF_000213215.1,GCA_000213215.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/215/GCA_000213215.1_ASM21321v1,ASM21321v1
ASM21441v1,GCA_000214415.1,PRJNA224116,SAMN00713627,Complete Genome,Methanotorris igneus Kol 5,representative genome,full,GCF_000214415.1,GCA_000214415.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/415/GCA_000214415.1_ASM21441v1,ASM21441v1
ASM21472v1,GCA_000214725.1,PRJNA224116,SAMN00713630,Complete Genome,Methanobacterium paludis,representative genome,full,GCF_000214725.1,GCA_000214725.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/214/725/GCA_000214725.1_ASM21472v1,ASM21472v1
ASM21599v1,GCA_000215995.1,PRJNA224116,SAMN02603867,Complete Genome,Pyrococcus yayanosii CH1,representative genome,full,GCF_000215995.1,GCA_000215995.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/995/GCA_000215995.1_ASM21599v1,ASM21599v1
ASM21771v1,GCA_000217715.1,PRJNA224116,SAMN02232028,Complete Genome,Halopiger xanaduensis SH-6,representative genome,full,GCF_000217715.1,GCA_000217715.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/715/GCA_000217715.1_ASM21771v1,ASM21771v1
ASM21799v1,GCA_000217995.1,PRJNA224116,SAMN02232039,Complete Genome,Methanosalsum zhilinae DSM 4017,representative genome,full,GCF_000217995.1,GCA_000217995.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/217/995/GCA_000217995.1_ASM21799v1,ASM21799v1
ASM22017v1,GCA_000220175.2,PRJNA224116,SAMN02470178,Contig,Candidatus Nitrosoarchaeum koreensis MY1,na,full,GCF_000220175.1,GCA_000220175.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/175/GCA_000220175.2_ASM22017v1,ASM22017v1
ASM22035v1,GCA_000220355.1,PRJNA52645,SAMN01940911,Scaffold,Candidatus Nanosalinarum sp. J07AB56,na,full,GCA_000220355.1,GCA_000220355.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/355/GCA_000220355.1_ASM22035v1,ASM22035v1
ASM22037v1,GCA_000220375.1,PRJNA52647,SAMN01940911,Scaffold,Candidatus Nanosalina sp. J07AB43,na,full,GCA_000220375.1,GCA_000220375.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/375/GCA_000220375.1_ASM22037v1,ASM22037v1
ASM22118v1,GCA_000221185.1,PRJNA224116,SAMN02603471,Complete Genome,Thermococcus sp. 4557,na,full,GCF_000221185.1,GCA_000221185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/221/185/GCA_000221185.1_ASM22118v1,ASM22118v1
ASM22339v1,GCA_000223395.1,PRJNA224116,SAMN02232047,Complete Genome,Pyrolobus fumarii 1A,representative genome,full,GCF_000223395.1,GCA_000223395.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/395/GCA_000223395.1_ASM22339v1,ASM22339v1
ASM22390v1,GCA_000223905.1,PRJNA224116,SAMN02602960,Complete Genome,Haloarcula hispanica ATCC 33960,representative genome,full,GCF_000223905.1,GCA_000223905.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/223/905/GCA_000223905.1_ASM22390v1,ASM22390v1
ASM22447v1,GCA_000224475.1,PRJNA224116,SAMN02232027,Complete Genome,halophilic archaeon DL31,representative genome,full,GCF_000224475.1,GCA_000224475.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/224/475/GCA_000224475.1_ASM22447v1,ASM22447v1
ASM22697v3,GCA_000226975.3,PRJNA224116,SAMN02470038,Complete Genome,Halobiforma lacisalsi AJ5,representative genome,full,GCF_000226975.2,GCA_000226975.3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/226/975/GCA_000226975.3_ASM22697v3,ASM22697v3
ASM23071v3,GCA_000230715.3,PRJNA224116,SAMN02232042,Complete Genome,Natronobacterium gregoryi SP2,representative genome,full,GCF_000230715.2,GCA_000230715.3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/715/GCA_000230715.3_ASM23071v3,ASM23071v3
ASM23073v3,GCA_000230735.3,PRJNA224116,SAMN02261373,Complete Genome,Natrinema pellirubrum DSM 15624,representative genome,full,GCF_000230735.2,GCA_000230735.3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/735/GCA_000230735.3_ASM23073v3,ASM23073v3
ASM23095v3,GCA_000230955.3,PRJNA224116,SAMN02261380,Complete Genome,Halobacterium sp. DL1,na,full,GCF_000230955.2,GCA_000230955.3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/230/955/GCA_000230955.3_ASM23095v3,ASM23095v3
ASM23480v1,GCA_000234805.1,PRJNA74711,SAMN02603094,Complete Genome,Pyrobaculum ferrireducens,na,full,GCA_000234805.1,GCA_000234805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/234/805/GCA_000234805.1_ASM23480v1,ASM23480v1
ASM23556v1,GCA_000235565.1,PRJNA224116,SAMN02603883,Complete Genome,Methanosaeta harundinacea 6Ac,representative genome,full,GCF_000235565.1,GCA_000235565.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/565/GCA_000235565.1_ASM23556v1,ASM23556v1
ASM23568v3,GCA_000235685.3,PRJNA224116,SAMN02261397,Chromosome,Methanolinea tarda NOBI-1,representative genome,full,GCF_000235685.2,GCA_000235685.3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/235/685/GCA_000235685.3_ASM23568v3,ASM23568v3
ASM23786v1,GCA_000237865.1,PRJNA224116,SAMEA2272799,Complete Genome,Haloquadratum walsbyi C23,representative genome,full,GCF_000237865.1,GCA_000237865.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/237/865/GCA_000237865.1_ASM23786v1,ASM23786v1
ASM24287v3,GCA_000242875.3,PRJNA224116,SAMN00016669,Contig,Candidatus Nitrosopumilus salaria BD31,na,full,GCF_000242875.2,GCA_000242875.3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/875/GCA_000242875.3_ASM24287v3,ASM24287v3
ASM24325v1,GCA_000243255.1,PRJNA224116,SAMN02261391,Chromosome,Methanoplanus limicola DSM 2279,representative genome,full,GCF_000243255.1,GCA_000243255.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/255/GCA_000243255.1_ASM24325v1,ASM24325v1
ASM24331v1,GCA_000243315.1,PRJNA224116,SAMN02261413,Scaffold,Metallosphaera yellowstonensis MK1,representative genome,full,GCF_000243315.1,GCA_000243315.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/315/GCA_000243315.1_ASM24331v1,ASM24331v1
ASM24345v2,GCA_000243455.2,PRJNA224116,SAMN02261372,Contig,Methanotorris formicicus Mc-S-70,representative genome,full,GCF_000243455.1,GCA_000243455.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/243/455/GCA_000243455.2_ASM24345v2,ASM24345v2
ASM24673v1,GCA_000246735.1,PRJNA77705,SAMN02954313,Chromosome,uncultured marine group II euryarchaeote,na,full,GCA_000246735.1,GCA_000246735.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/246/735/GCA_000246735.1_ASM24673v1,ASM24673v1
ASM24698v3,GCA_000246985.3,PRJNA224116,SAMN02603679,Complete Genome,Thermococcus litoralis DSM 5473,representative genome,full,GCF_000246985.2,GCA_000246985.3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/246/985/GCA_000246985.3_ASM24698v3,ASM24698v3
ASM24754v1,GCA_000247545.1,PRJNA42375,SAMN02604076,Complete Genome,Pyrobaculum oguniense TE7,na,full,GCA_000247545.1,GCA_000247545.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/247/545/GCA_000247545.1_ASM24754v1,ASM24754v1
ASM25110v1,GCA_000251105.1,PRJNA224116,SAMN02603117,Complete Genome,Methanocella conradii HZ254,representative genome,full,GCF_000251105.1,GCA_000251105.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/251/105/GCA_000251105.1_ASM25110v1,ASM25110v1
ASM25305v1,GCA_000253055.1,PRJNA224116,SAMEA2272453,Complete Genome,Thermoproteus tenax Kra 1,na,full,GCF_000253055.1,GCA_000253055.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/055/GCA_000253055.1_ASM25305v1,ASM25305v1
ASM25842v1,GCA_000258425.1,PRJNA91117,SAMN02603095,Complete Genome,Fervidicoccus fontis Kam940,na,full,GCA_000258425.1,GCA_000258425.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/425/GCA_000258425.1_ASM25842v1,ASM25842v1
TheZil1.0,GCA_000258515.1,PRJNA224116,SAMN02470188,Contig,Thermococcus zilligii AN1,representative genome,full,GCF_000258515.1,GCA_000258515.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/515/GCA_000258515.1_TheZil1.0,TheZil1.0
ASM26373v1,GCA_000263735.1,PRJNA224116,SAMN02603491,Complete Genome,Pyrococcus sp. ST04,na,full,GCF_000263735.1,GCA_000263735.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/263/735/GCA_000263735.1_ASM26373v1,ASM26373v1
ASM26449v1,GCA_000264495.1,PRJNA224116,SAMN02603096,Complete Genome,Thermogladius calderae 1633,representative genome,full,GCF_000264495.1,GCA_000264495.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/264/495/GCA_000264495.1_ASM26449v1,ASM26449v1
ASM26552v1,GCA_000265525.1,PRJNA224116,SAMN02603492,Complete Genome,Thermococcus cleftensis,representative genome,full,GCF_000265525.1,GCA_000265525.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/525/GCA_000265525.1_ASM26552v1,ASM26552v1
ASM27032v1,GCA_000270325.1,PRJDA49157,SAMD00016619,Complete Genome,Candidatus Caldiarchaeum subterraneum,na,full,GCA_000270325.1,GCA_000270325.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/270/325/GCA_000270325.1_ASM27032v1,ASM27032v1
ASM27586v1,GCA_000275865.1,PRJNA224116,SAMN02256542,Chromosome,Methanofollis liminatans DSM 4140,representative genome,full,GCF_000275865.1,GCA_000275865.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/275/865/GCA_000275865.1_ASM27586v1,ASM27586v1
ASM29661v1,GCA_000296615.1,PRJNA224116,SAMN02470121,Scaffold,Halorubrum sp. T3,na,full,GCF_000296615.1,GCA_000296615.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/296/615/GCA_000296615.1_ASM29661v1,ASM29661v1
ASM29936v1,GCA_000299365.1,PRJNA174387,SAMN02603137,Complete Genome,Candidatus Nitrosopumilus koreensis AR1,na,full,GCA_000299365.1,GCA_000299365.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/365/GCA_000299365.1_ASM29936v1,ASM29936v1
ASM29939v1,GCA_000299395.1,PRJNA224116,SAMN02603138,Complete Genome,Candidatus Nitrosopumilus sediminis,na,full,GCF_000299395.1,GCA_000299395.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/299/395/GCA_000299395.1_ASM29939v1,ASM29939v1
ASM30025v2,GCA_000300255.2,PRJNA224116,SAMN03081445,Complete Genome,Candidatus Methanomethylophilus alvus Mx1201,na,full,GCF_000300255.2,GCA_000300255.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/255/GCA_000300255.2_ASM30025v2,ASM30025v2
ASM30245v1,GCA_000302455.1,PRJNA224116,SAMN02471940,Contig,Methanobacterium formicicum DSM 3637,representative genome,full,GCF_000302455.1,GCA_000302455.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/302/455/GCA_000302455.1_ASM30245v1,ASM30245v1
ASM30315v1,GCA_000303155.1,PRJNA60505,SAMN02603264,Complete Genome,Candidatus Nitrososphaera gargensis Ga9.2,na,full,GCA_000303155.1,GCA_000303155.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/303/155/GCA_000303155.1_ASM30315v1,ASM30315v1
Mb_MS2,GCA_000304355.2,PRJNA224116,SAMEA2272323,Complete Genome,Methanoculleus bourgensis MS2,representative genome,full,GCF_000304355.2,GCA_000304355.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/355/GCA_000304355.2_Mb_MS2,Mb_MS2
ASM30672v1,GCA_000306725.1,PRJNA224116,SAMN00739943,Complete Genome,Methanolobus psychrophilus R15,representative genome,full,GCF_000306725.1,GCA_000306725.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/725/GCA_000306725.1_ASM30672v1,ASM30672v1
ASM30676v2,GCA_000306765.2,PRJNA224116,SAMN02603397,Complete Genome,Haloferax mediterranei ATCC 33500,representative genome,full,GCF_000306765.2,GCA_000306765.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/306/765/GCA_000306765.2_ASM30676v2,ASM30676v2
ASM30821v1,GCA_000308215.1,PRJNA224116,SAMEA3138426,Contig,Methanomassiliicoccus luminyensis B10,representative genome,full,GCF_000308215.1,GCA_000308215.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/308/215/GCA_000308215.1_ASM30821v1,ASM30821v1
MMad_1.0,GCA_000309865.1,PRJNA172217,SAMN01813472,Contig,Methanobacterium sp. Maddingley MBC34,na,full,GCA_000309865.1,GCA_000309865.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/309/865/GCA_000309865.1_MMad_1.0,MMad_1.0
ASM31779v1,GCA_000317795.1,PRJNA224116,SAMN02261426,Complete Genome,Caldisphaera lagunensis DSM 15908,representative genome,full,GCF_000317795.1,GCA_000317795.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/795/GCA_000317795.1_ASM31779v1,ASM31779v1
ASM32050v2,GCA_000320505.2,PRJNA224116,SAMD00036626,Contig,Methanobrevibacter boviskoreani JH1,representative genome,full,GCF_000320505.1,GCA_000320505.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/320/505/GCA_000320505.2_ASM32050v2,ASM32050v2
ASM32748v1,GCA_000327485.1,PRJNA224116,SAMN02232038,Complete Genome,Methanoregula formicica SMSP,representative genome,full,GCF_000327485.1,GCA_000327485.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/327/485/GCA_000327485.1_ASM32748v1,ASM32748v1
ASM32750v1,GCA_000327505.1,PRJNA224116,SAMN02261429,Complete Genome,Aciduliprofundum sp. MAR08-339,na,full,GCF_000327505.1,GCA_000327505.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/327/505/GCA_000327505.1_ASM32750v1,ASM32750v1
ASM32852v1,GCA_000328525.1,PRJNA59897,SAMN02232030,Complete Genome,Halovivax ruber XH-70,na,full,GCA_000328525.1,GCA_000328525.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/525/GCA_000328525.1_ASM32852v1,ASM32852v1
ASM32866v1,GCA_000328665.1,PRJNA224116,SAMN02261367,Complete Genome,Methanomethylovorans hollandica DSM 15978,representative genome,full,GCF_000328665.1,GCA_000328665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/665/GCA_000328665.1_ASM32866v1,ASM32866v1
ASM32868v1,GCA_000328685.1,PRJNA224116,SAMN02261263,Complete Genome,Natronococcus occultus SP4,representative genome,full,GCF_000328685.1,GCA_000328685.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/328/685/GCA_000328685.1_ASM32868v1,ASM32868v1
ASM33489v1,GCA_000334895.1,PRJNA224116,SAMD00011631,Contig,Halococcus agarilyticus,representative genome,full,GCF_000334895.1,GCA_000334895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/334/895/GCA_000334895.1_ASM33489v1,ASM33489v1
ASM33661v1,GCA_000336615.1,PRJNA224116,SAMN02471637,Contig,Haloarcula amylolytica JCM 13557,na,full,GCF_000336615.1,GCA_000336615.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/615/GCA_000336615.1_ASM33661v1,ASM33661v1
ASM33663v1,GCA_000336635.1,PRJNA224116,SAMN02471638,Contig,Haloarcula japonica DSM 6131,na,full,GCF_000336635.1,GCA_000336635.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/635/GCA_000336635.1_ASM33663v1,ASM33663v1
ASM33667v1,GCA_000336675.1,PRJNA224116,SAMN02471661,Contig,Halococcus hamelinensis 100A6,representative genome,full,GCF_000336675.1,GCA_000336675.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/675/GCA_000336675.1_ASM33667v1,ASM33667v1
ASM33669v1,GCA_000336695.1,PRJNA224116,SAMN02471675,Contig,Halococcus morrhuae DSM 1307,representative genome,full,GCF_000336695.1,GCA_000336695.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/695/GCA_000336695.1_ASM33669v1,ASM33669v1
ASM33671v1,GCA_000336715.1,PRJNA224116,SAMN02471640,Contig,Halococcus thailandensis JCM 13552,representative genome,full,GCF_000336715.1,GCA_000336715.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/715/GCA_000336715.1_ASM33671v1,ASM33671v1
ASM33675v1,GCA_000336755.1,PRJNA224116,SAMN02471641,Contig,Haloferax elongans ATCC BAA-1513,representative genome,full,GCF_000336755.1,GCA_000336755.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/755/GCA_000336755.1_ASM33675v1,ASM33675v1
ASM33677v1,GCA_000336775.1,PRJNA224116,SAMN02471685,Contig,Haloferax gibbonsii ATCC 33959,na,full,GCF_000336775.1,GCA_000336775.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/775/GCA_000336775.1_ASM33677v1,ASM33677v1
ASM33681v1,GCA_000336815.1,PRJNA224116,SAMN02471666,Contig,Haloferax prahovense DSM 18310,na,full,GCF_000336815.1,GCA_000336815.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/815/GCA_000336815.1_ASM33681v1,ASM33681v1
ASM33687v1,GCA_000336875.1,PRJNA224116,SAMN02471648,Contig,Halorubrum californiensis DSM 19288,representative genome,full,GCF_000336875.1,GCA_000336875.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/875/GCA_000336875.1_ASM33687v1,ASM33687v1
ASM33689v1,GCA_000336895.1,PRJNA224116,SAMN02471678,Contig,Haloarcula argentinensis DSM 12282,na,full,GCF_000336895.1,GCA_000336895.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/895/GCA_000336895.1_ASM33689v1,ASM33689v1
ASM33691v1,GCA_000336915.1,PRJNA224116,SAMN02471639,Contig,Halococcus saccharolyticus DSM 5350,representative genome,full,GCF_000336915.1,GCA_000336915.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/915/GCA_000336915.1_ASM33691v1,ASM33691v1
ASM33693v1,GCA_000336935.1,PRJNA224116,SAMN02471636,Contig,Halococcus salifodinae DSM 8989,representative genome,full,GCF_000336935.1,GCA_000336935.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/935/GCA_000336935.1_ASM33693v1,ASM33693v1
ASM33695v1,GCA_000336955.1,PRJNA224116,SAMN02471655,Contig,Haloferax larsenii JCM 13917,na,full,GCF_000336955.1,GCA_000336955.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/955/GCA_000336955.1_ASM33695v1,ASM33695v1
ASM33699v1,GCA_000336995.1,PRJNA224116,SAMN02471664,Contig,Halorubrum aidingense JCM 13560,representative genome,full,GCF_000336995.1,GCA_000336995.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/336/995/GCA_000336995.1_ASM33699v1,ASM33699v1
ASM33703v1,GCA_000337035.1,PRJNA224116,SAMN02471634,Contig,Halorubrum coriense DSM 10284,representative genome,full,GCF_000337035.1,GCA_000337035.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/035/GCA_000337035.1_ASM33703v1,ASM33703v1
ASM33707v1,GCA_000337075.1,PRJNA224116,SAMN02471650,Contig,Halorubrum hochstenium ATCC 700873,na,full,GCF_000337075.1,GCA_000337075.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/075/GCA_000337075.1_ASM33707v1,ASM33707v1
ASM33709v1,GCA_000337095.1,PRJNA224116,SAMN02471630,Contig,Halogeometricum pallidum JCM 14848,representative genome,full,GCF_000337095.1,GCA_000337095.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/095/GCA_000337095.1_ASM33709v1,ASM33709v1
ASM33713v1,GCA_000337135.1,PRJNA224116,SAMN02471674,Contig,Natrialba chahannaoensis JCM 10990,na,full,GCF_000337135.1,GCA_000337135.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/135/GCA_000337135.1_ASM33713v1,ASM33713v1
ASM33717v1,GCA_000337175.1,PRJNA224116,SAMN02471627,Contig,Natrinema gari JCM 14663,na,full,GCF_000337175.1,GCA_000337175.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/175/GCA_000337175.1_ASM33717v1,ASM33717v1
ASM33719v1,GCA_000337195.1,PRJNA224116,SAMN02471670,Contig,Natrinema versiforme JCM 10478,representative genome,full,GCF_000337195.1,GCA_000337195.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/195/GCA_000337195.1_ASM33719v1,ASM33719v1
ASM33721v1,GCA_000337215.1,PRJNA224116,SAMN02471623,Contig,Natronolimnobius innermongolicus JCM 12255,representative genome,full,GCF_000337215.1,GCA_000337215.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/215/GCA_000337215.1_ASM33721v1,ASM33721v1
ASM33733v1,GCA_000337335.1,PRJNA224116,SAMN02471649,Contig,Halorubrum distributum JCM 10118,na,full,GCF_000337335.1,GCA_000337335.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/335/GCA_000337335.1_ASM33733v1,ASM33733v1
ASM33735v1,GCA_000337355.1,PRJNA224116,SAMN02471633,Contig,Halorubrum kocurii JCM 14978,representative genome,full,GCF_000337355.1,GCA_000337355.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/355/GCA_000337355.1_ASM33735v1,ASM33735v1
ASM33737v1,GCA_000337375.1,PRJNA224116,SAMN02471632,Contig,Halorubrum lipolyticum DSM 21995,representative genome,full,GCF_000337375.1,GCA_000337375.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/375/GCA_000337375.1_ASM33737v1,ASM33737v1
ASM33741v1,GCA_000337415.1,PRJNA224116,SAMN02471631,Contig,Halorubrum tebenquichense DSM 14210,representative genome,full,GCF_000337415.1,GCA_000337415.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/415/GCA_000337415.1_ASM33741v1,ASM33741v1
ASM33745v1,GCA_000337455.1,PRJNA224116,SAMN02471654,Contig,Halosimplex carlsbadense 2-9-1,representative genome,full,GCF_000337455.1,GCA_000337455.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/455/GCA_000337455.1_ASM33745v1,ASM33745v1
ASM33747v1,GCA_000337475.1,PRJNA224116,SAMN02471681,Contig,Haloterrigena limicola JCM 13563,representative genome,full,GCF_000337475.1,GCA_000337475.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/475/GCA_000337475.1_ASM33747v1,ASM33747v1
ASM33749v1,GCA_000337495.1,PRJNA224116,SAMN02471629,Contig,Haloterrigena salina JCM 13891,na,full,GCF_000337495.1,GCA_000337495.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/495/GCA_000337495.1_ASM33749v1,ASM33749v1
ASM33751v1,GCA_000337515.1,PRJNA224116,SAMN02471651,Contig,Halovivax asiaticus JCM 14624,representative genome,full,GCF_000337515.1,GCA_000337515.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/515/GCA_000337515.1_ASM33751v1,ASM33751v1
ASM33753v1,GCA_000337535.1,PRJNA224116,SAMN02471628,Contig,Natrialba aegyptia DSM 13077,na,full,GCF_000337535.1,GCA_000337535.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/535/GCA_000337535.1_ASM33753v1,ASM33753v1
ASM33755v1,GCA_000337555.1,PRJNA224116,SAMN02471653,Contig,Natrialba asiatica DSM 12278,representative genome,full,GCF_000337555.1,GCA_000337555.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/555/GCA_000337555.1_ASM33755v1,ASM33755v1
ASM33757v1,GCA_000337575.1,PRJNA224116,SAMN02471673,Contig,Natrialba hulunbeirensis JCM 10989,representative genome,full,GCF_000337575.1,GCA_000337575.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/575/GCA_000337575.1_ASM33757v1,ASM33757v1
ASM33759v1,GCA_000337595.1,PRJNA224116,SAMN02471680,Contig,Natrialba taiwanensis DSM 12281,na,full,GCF_000337595.1,GCA_000337595.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/595/GCA_000337595.1_ASM33759v1,ASM33759v1
ASM33761v1,GCA_000337615.1,PRJNA224116,SAMN02471671,Contig,Natrinema pallidum DSM 3751,na,full,GCF_000337615.1,GCA_000337615.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/615/GCA_000337615.1_ASM33761v1,ASM33761v1
ASM33767v1,GCA_000337675.1,PRJNA224116,SAMN02471669,Contig,Natronococcus amylolyticus DSM 10524,representative genome,full,GCF_000337675.1,GCA_000337675.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/675/GCA_000337675.1_ASM33767v1,ASM33767v1
ASM33769v1,GCA_000337695.1,PRJNA224116,SAMN02471624,Contig,Natronococcus jeotgali DSM 18795,representative genome,full,GCF_000337695.1,GCA_000337695.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/695/GCA_000337695.1_ASM33769v1,ASM33769v1
ASM33771v1,GCA_000337715.1,PRJNA224116,SAMN02471622,Contig,Natronorubrum bangense JCM 10635,representative genome,full,GCF_000337715.1,GCA_000337715.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/337/715/GCA_000337715.1_ASM33771v1,ASM33771v1
